City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
301,Japura,ID,-0.3167,102.35,73.35,98,38,2.15,scattered clouds
302,Ovruch,UA,51.3246,28.8035,31.96,66,50,2.77,scattered clouds
303,Vestmannaeyjar,IS,63.4427,-20.2734,43.93,80,0,12.91,clear sky
304,Cabinda,AO,-5.55,12.2,78.6,87,22,3.87,few clouds
305,Touros,BR,-5.1989,-35.4608,78.8,83,20,6.91,few clouds
306,Gamba,GA,-2.65,10.0,77.94,88,76,2.59,broken clouds
307,Ranong,TH,9.9658,98.6348,75.2,100,20,4.97,few clouds
308,Safranbolu,TR,41.2508,32.6942,50.85,96,100,3.83,overcast clouds
309,Tchibanga,GA,-2.85,11.0333,72.3,97,61,1.72,broken clouds
310,Esil,KZ,51.9556,66.4042,48.92,67,93,14.25,overcast clouds
311,Half Moon Bay,US,37.4636,-122.4286,57.2,100,90,9.22,overcast clouds
312,Grand Gaube,MU,-20.0064,57.6608,75.99,86,100,10.0,light rain
313,Ludesti,RO,44.8667,25.2333,43.0,88,50,4.07,scattered clouds
314,Saint-Prosper,CA,46.2117,-70.4811,51.8,82,100,5.1,overcast clouds
315,Bagdarin,RU,54.4333,113.6,34.9,97,100,5.97,snow
316,Muisne,EC,0.6,-80.0333,84.2,79,75,6.91,broken clouds
317,Emmanouil Pappas,GR,41.0833,23.7167,50.0,64,66,1.01,broken clouds
318,Stolberg,DE,50.7667,6.2333,39.0,74,100,4.61,overcast clouds
319,Libreville,GA,0.3925,9.4537,82.4,89,20,4.61,few clouds
320,Muli,MV,2.9167,73.5667,82.69,70,12,5.75,few clouds
321,Wuwei,CN,37.9281,102.6414,41.31,36,17,1.01,few clouds
322,Labuhan,ID,-6.8844,112.2051,76.87,86,46,8.59,scattered clouds
323,Lagoa,PT,39.05,-27.9833,59.16,83,99,12.19,overcast clouds
324,Jamame,SO,0.0722,42.7506,81.36,77,32,8.3,scattered clouds
325,Saskylakh,RU,71.9167,114.0833,15.06,93,100,22.86,light snow
326,Talnakh,RU,69.4865,88.3972,2.93,92,92,5.35,overcast clouds
327,Yarim,YE,14.298,44.3779,57.42,63,77,4.54,broken clouds
328,Koungou,YT,-12.7336,45.2042,78.8,89,0,3.44,clear sky
329,Yeniseysk,RU,58.4497,92.1703,35.65,98,100,5.73,overcast clouds
330,Salalah,OM,17.0151,54.0924,82.4,74,40,8.05,scattered clouds
331,Pitimbu,BR,-7.4706,-34.8086,77.0,94,0,5.75,clear sky
332,Constitucion,CL,-35.3333,-72.4167,57.9,80,2,11.59,clear sky
333,Portland,US,45.5234,-122.6762,59.0,44,90,3.44,overcast clouds
334,Borshchiv,UA,48.8033,26.0435,41.0,79,100,10.11,overcast clouds
335,Sterling,US,39.0062,-77.4286,62.6,48,75,10.36,broken clouds
336,Langsa,ID,4.4683,97.9683,73.42,95,100,1.54,overcast clouds
337,Talaya,RU,61.3833,152.75,7.75,80,95,1.21,overcast clouds
338,Dondo,MZ,-19.6094,34.7431,73.4,88,0,4.72,clear sky
339,Sabya,SA,17.1495,42.6254,87.8,58,40,4.61,scattered clouds
